requestedUrl,finalUrl,category,name,title,type,score
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-valid-attr-value","`[aria-*]` attributes have valid values","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","aria-valid-attr","`[aria-*]` attributes are valid and not misspelled","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","button-name","Buttons do not have an accessible name","binary","0"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","bypass","The page contains a heading, skip link, or landmark region","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","color-contrast","Background and foreground colors do not have a sufficient contrast ratio.","binary","0"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","definition-list","`<dl>`'s contain only properly-ordered `<dt>` and `<dd>` groups, `<script>`, `<template>` or `<div>` elements.","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","dlitem","Definition list items are wrapped in `<dl>` elements","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","document-title","Document has a `<title>` element","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","duplicate-id-active","`[id]` attributes on active, focusable elements are unique","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","duplicate-id-aria","ARIA IDs are unique","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","form-field-multiple-labels","No form fields have multiple labels","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","frame-title","`<frame>` or `<iframe>` elements have a title","notApplicable","-1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","heading-order","Heading elements are not in a sequentially-descending order","binary","0"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","html-has-lang","`<html>` element has a `[lang]` attribute","binary","1"
"https://www.rapsodia.com.mx/","https://www.rapsodia.com.mx/","Accessibility","html-lang-valid","`<html>` element has a valid value for its `[lang]` attribute","binary","1"
